iter	RMSE
0	41.06497585
1	39.70446042
2	38.47428915
3	37.31322248
4	36.22310298
5	35.01311232
6	33.89531497
7	32.80135246
8	31.74095541
9	30.7120588
10	29.69438041
11	28.74859082
12	27.85277215
13	27.02273614
14	26.23709767
15	25.3616308
16	24.63051126
17	23.89715307
18	23.13234199
19	22.43489081
20	21.6944742
21	20.99636183
22	20.31014197
23	19.70627086
24	19.04703491
25	18.48314996
26	17.90449932
27	17.32093694
28	16.78212626
29	16.30840904
30	15.78187855
31	15.38768229
32	14.9323215
33	14.47307425
34	14.01576434
35	13.58408239
36	13.16041094
37	12.7550951
38	12.3880006
39	11.9939718
40	11.65805473
41	11.30868851
42	10.97594532
43	10.68662318
44	10.36150434
45	10.04011908
46	9.735235222
47	9.442004253
48	9.187269476
49	8.905916123
50	8.668522537
51	8.428293755
52	8.20605584
53	7.966320102
54	7.758914021
55	7.552402269
56	7.337252836
57	7.12676926
58	6.941245921
59	6.752447926
60	6.555402337
61	6.371627553
62	6.187224338
63	6.046688011
64	5.880502827
65	5.713179476
66	5.568625994
67	5.432456597
68	5.306586405
69	5.163804918
70	5.023310071
71	4.898316076
72	4.789110345
73	4.684386137
74	4.565874189
75	4.454310857
76	4.342176174
77	4.249027341
78	4.156997934
79	4.054304975
80	3.96011838
81	3.881269185
82	3.795678305
83	3.717399674
84	3.637267207
85	3.567551016
86	3.499960114
87	3.422895665
88	3.353539096
89	3.287208325
90	3.223481797
91	3.157410426
92	3.098155613
93	3.036622571
94	2.97458972
95	2.917888065
96	2.865697102
97	2.818904005
98	2.7732869
99	2.729068025
100	2.684009197
101	2.639000589
102	2.594148756
103	2.551980011
104	2.509712409
105	2.471445086
106	2.433807303
107	2.396222267
108	2.359656542
109	2.335184897
110	2.302157393
111	2.267185466
112	2.242813166
113	2.214890709
114	2.186808119
115	2.159822667
116	2.132569181
117	2.108999868
118	2.083957207
119	2.064310849
120	2.040226609
121	2.020669357
122	1.9973031
123	1.979674022
124	1.958919052
125	1.938205866
126	1.918874864
127	1.901752919
128	1.883274961
129	1.87345749
130	1.85853306
131	1.841560467
132	1.8261813
133	1.813076587
134	1.800324791
135	1.793546687
136	1.780928039
137	1.767874758
138	1.754156225
139	1.741986547
140	1.737949538
141	1.727478726
142	1.714065295
143	1.709645151
144	1.704118934
145	1.690468483
146	1.680060078
147	1.674409759
148	1.663235523
149	1.657797738
150	1.647284568
151	1.636340318
152	1.624774905
153	1.621012421
154	1.617295774
155	1.612348078
156	1.608691836
157	1.598531727
158	1.592019556
159	1.584367121
160	1.573419334
161	1.570955654
162	1.563995579
163	1.557860884
164	1.546752594
165	1.544011155
166	1.535523023
167	1.528732862
168	1.526371239
169	1.519121186
170	1.515206812
171	1.509807802
172	1.506401963
173	1.503684274
174	1.49671535
175	1.49306798
176	1.489753185
177	1.485929478
178	1.483774731
179	1.481180991
180	1.478691339
181	1.476834939
182	1.474718153
183	1.472642966
184	1.470341471
185	1.468568623
186	1.467037837
187	1.464776123
188	1.460681888
189	1.459081113
190	1.457292994
191	1.45406401
192	1.446210368
193	1.444370677
194	1.442405527
195	1.433600753
196	1.430963355
197	1.426132645
198	1.423648403
199	1.422131418
200	1.42058277
201	1.416962561
202	1.41248507
203	1.41043208
204	1.409221428
205	1.407852845
206	1.405369784
207	1.400761677
208	1.398164373
209	1.395549547
210	1.394212706
211	1.391266456
212	1.382885132
213	1.381651084
214	1.380499838
215	1.37934054
216	1.378317886
217	1.377203392
218	1.376148795
219	1.375195548
220	1.36985881
221	1.368922552
222	1.360728586
223	1.356449182
224	1.348916286
225	1.34310432
226	1.342181008
227	1.33714561
228	1.336203065
229	1.335340887
230	1.328257752
231	1.327371966
232	1.326567988
233	1.325739986
234	1.31982783
235	1.314529086
236	1.309151983
237	1.304689524
238	1.303985527
239	1.302796257
240	1.30196905
241	1.301276345
242	1.300500996
243	1.294350896
244	1.292767761
245	1.288765321
246	1.285311244
247	1.283841971
248	1.282739949
249	1.278758274
250	1.278151929
251	1.271472786
252	1.267813343
253	1.267073256
254	1.261059866
255	1.257523522
256	1.253334893
257	1.250332651
258	1.249744243
259	1.248844714
260	1.243863209
261	1.243364507
262	1.237406025
263	1.231820139
264	1.226616079
265	1.225990777
266	1.225542774
267	1.221680874
268	1.221250626
269	1.218736884
270	1.214943209
271	1.211383363
272	1.206200699
273	1.20569271
274	1.202474416
275	1.20209473
276	1.198857514
277	1.196543673
278	1.192897474
279	1.192541939
280	1.188551029
281	1.183070887
282	1.177472085
283	1.175476838
284	1.175107042
285	1.172307093
286	1.169609427
287	1.169293431
288	1.167304987
289	1.166557504
290	1.162830101
291	1.162504649
292	1.161768623
293	1.161051075
294	1.160362391
295	1.156788416
296	1.153157395
297	1.15255853
298	1.151912616
299	1.151347304
300	1.147953624
301	1.1457239
302	1.14267691
303	1.140240258
304	1.136800313
305	1.13288909
306	1.13011146
307	1.125553071
308	1.123335923
309	1.120215408
310	1.119977008
311	1.119507862
312	1.116849778
313	1.113787204
314	1.111572339
315	1.110035713
316	1.105965992
317	1.103130139
318	1.102922027
319	1.099975765
320	1.095904695
321	1.091893211
322	1.088433784
323	1.085104886
324	1.082757861
325	1.079604268
326	1.075872099
327	1.073360881
328	1.069154876
329	1.0662609
330	1.062197424
331	1.059250298
332	1.056477681
333	1.054829769
334	1.052929808
335	1.050196194
336	1.047238368
337	1.04474686
338	1.041032633
339	1.038284679
340	1.034740327
341	1.031478266
342	1.029013221
343	1.026437861
344	1.023424466
345	1.020153929
346	1.01801595
347	1.015093161
348	1.011621336
349	1.008999974
350	1.005983172
351	1.004251821
352	1.001271978
353	0.9983339949
354	0.995390989
355	0.9922865593
356	0.9895735678
357	0.9865026643
358	0.9844222698
359	0.982813995
360	0.9811742974
361	0.9783210322
362	0.9756300338
363	0.9727219764
364	0.9702807741
365	0.9672667032
366	0.9644351042
367	0.9624406308
368	0.9596065046
369	0.9567415483
370	0.9540989745
371	0.9511285338
372	0.9480880889
373	0.9462657051
374	0.944271781
375	0.9424318059
376	0.9398219045
377	0.9367855616
378	0.934131378
379	0.9312742524
380	0.9293892066
381	0.9279332292
382	0.9260155466
383	0.9230907078
384	0.920824969
385	0.9184729162
386	0.9164723528
387	0.9146593351
388	0.9123932872
389	0.9108596062
390	0.9090846956
391	0.9070667046
392	0.9043341349
393	0.9025780517
394	0.900192225
395	0.8985454299
396	0.8966848265
397	0.8949858742
398	0.893374229
399	0.8921877606
400	0.8913915787
401	0.8896246858
402	0.8884987618
403	0.8862793335
404	0.8856327035
405	0.8838637537
406	0.8812034171
407	0.8789069088
408	0.87725139
409	0.87477724
410	0.8732287882
411	0.8706904151
412	0.8687148865
413	0.8665929633
414	0.8651580064
415	0.8627891857
416	0.8607249516
417	0.8583762643
418	0.8566165574
419	0.8542202529
420	0.8524800355
421	0.8506813331
422	0.8485125738
423	0.8473234567
424	0.845817124
425	0.8434699743
426	0.841577857
427	0.8400182895
428	0.8381368521
429	0.8362841338
430	0.8352846226
431	0.8331735005
432	0.8320929308
433	0.8309864683
434	0.829736575
435	0.8270435133
436	0.8251535616
437	0.8229277144
438	0.8212009743
439	0.8202585108
440	0.818423996
441	0.8162422182
442	0.813950141
443	0.8122353204
444	0.8105194753
445	0.8092056571
446	0.8082216095
447	0.8058190939
448	0.8037045682
449	0.8015579535
450	0.800870349
451	0.7985487068
452	0.7963989498
453	0.7943369947
454	0.7921044593
455	0.7899019039
456	0.7880201973
457	0.7858682952
458	0.784084266
459	0.7834338522
460	0.7821032523
461	0.7806718181
462	0.7786587874
463	0.7778106942
464	0.7768409476
465	0.7752455146
466	0.7738467634
467	0.7728105928
468	0.7716952484
469	0.7701455261
470	0.7687361757
471	0.7671272773
472	0.7659332193
473	0.7638244026
474	0.7625077812
475	0.7603133301
476	0.7584014475
477	0.7572964633
478	0.7558555988
479	0.7546318413
480	0.7535933676
481	0.7521340891
482	0.7504685145
483	0.7487425808
484	0.7469870872
485	0.7456310975
486	0.7440409971
487	0.7423362616
488	0.7409725435
489	0.7396221565
490	0.7381387623
491	0.7368199473
492	0.7356549403
493	0.7352773615
494	0.7341194627
495	0.7324585916
496	0.7315144834
497	0.7302239597
498	0.7286223831
499	0.7270398227
500	0.7267001957
501	0.7256602715
502	0.7249134241
503	0.724254556
504	0.7226695961
505	0.7215398885
506	0.7201062049
507	0.7188845836
508	0.7181330953
509	0.7167411195
510	0.7155416329
511	0.7142547144
512	0.7124517761
513	0.7115256381
514	0.7099932669
515	0.709079404
516	0.708359381
517	0.7074253559
518	0.7060180267
519	0.7049126703
520	0.7037920743
521	0.7029372122
522	0.7021991308
523	0.7013896803
524	0.7002803521
525	0.6994356805
526	0.6977450268
527	0.6967465995
528	0.6950210819
529	0.6934738252
530	0.6922915886
531	0.6908141221
532	0.6900917043
533	0.6891888761
534	0.6884172669
535	0.6881830931
536	0.6865068955
537	0.6858668815
538	0.6847654651
539	0.6832532643
540	0.6822163168
541	0.6807747414
542	0.6791939528
543	0.6780901424
544	0.6765503683
545	0.6751612316
546	0.6744303085
547	0.6731247033
548	0.6718205221
549	0.6704302952
550	0.6692523372
551	0.6684748069
552	0.6675278938
553	0.6664156197
554	0.6649796602
555	0.6643476369
556	0.6634842223
557	0.662431948
558	0.6610922562
559	0.660084677
560	0.6584734148
561	0.6583085615
562	0.6572342335
563	0.6559292002
564	0.6549803267
565	0.6536899132
566	0.652439046
567	0.6512448911
568	0.6509886872
569	0.6496790947
570	0.6489169068
571	0.6476882507
572	0.6464303559
573	0.645707174
574	0.6443700907
575	0.6430684757
576	0.6422864441
577	0.6417586698
578	0.6404008854
579	0.6393201537
580	0.63836438
581	0.6376032493
582	0.6364809846
583	0.635010102
584	0.6336295148
585	0.6325772346
586	0.6316558743
587	0.6302249149
588	0.629564083
589	0.6287421436
590	0.6278422685
591	0.6272691427
592	0.6261676245
593	0.6254285878
594	0.6248454092
595	0.6235822632
596	0.6223984682
597	0.6217144548
598	0.6206045284
599	0.6191962685
600	0.6182440991
601	0.6170037183
602	0.6159527833
603	0.6150086981
604	0.6142611929
605	0.6131941938
606	0.6124073186
607	0.6113510066
608	0.6106636559
609	0.6099252651
610	0.6091902655
611	0.6085636517
612	0.6078200973
613	0.6067696084
614	0.605834729
615	0.6050685789
616	0.603967986
617	0.6030609054
618	0.6025628935
619	0.6014339362
620	0.6008424473
621	0.5998819787
622	0.5990640435
623	0.5979922099
624	0.5974650399
625	0.5962283323
626	0.5954648385
627	0.5944016423
628	0.5939316523
629	0.5932483347
630	0.5922197159
631	0.5917473342
632	0.5904386182
633	0.5892179675
634	0.5879123132
635	0.5869437703
636	0.586514545
637	0.5863174929
638	0.5858582515
639	0.5849828031
640	0.5839078256
641	0.5828325987
642	0.5823908045
643	0.5812909707
644	0.5804158075
645	0.5794502376
646	0.5788119552
647	0.5784404364
648	0.5772848451
649	0.5762949665
650	0.5758910819
651	0.5750921918
652	0.5746183009
653	0.5736513978
654	0.5722931876
655	0.5711873595
656	0.5703303039
657	0.5696508739
658	0.5687446559
659	0.5675554833
660	0.5671485524
661	0.5658889812
662	0.5657080661
663	0.5649383482
664	0.5639989174
665	0.5630633659
666	0.5626212835
667	0.5621816581
668	0.561504408
669	0.5606241694
670	0.5595201322
671	0.5586588592
672	0.5581602154
673	0.5571657743
674	0.5562016062
675	0.55525349
676	0.5542385941
677	0.5531584718
678	0.5522574267
679	0.5515363205
680	0.550459951
681	0.5500786789
682	0.5493624436
683	0.5483993478
684	0.5477907104
685	0.5466372046
686	0.5456818441
687	0.5452186124
688	0.5443178542
689	0.543974261
690	0.5430757581
691	0.5425719038
692	0.5422928594
693	0.5420816533
694	0.5412764956
695	0.5401603363
696	0.5393111063
697	0.5385435414
698	0.5378356672
699	0.5370023482
700	0.5364718388
701	0.5355895679
