iter	Passed	Remaining
0	60	60768
1	61	30539
2	61	20444
3	61	15397
4	62	12366
5	62	10346
6	62	8899
7	63	7816
8	63	6975
9	63	6303
10	64	5755
11	64	5302
12	64	4912
13	65	4578
14	65	4282
15	65	4027
16	65	3803
17	66	3603
18	66	3425
19	66	3264
20	66	3118
21	67	2985
22	67	2864
23	67	2757
24	68	2656
25	68	2562
26	68	2476
27	68	2394
28	69	2320
29	69	2250
30	69	2185
31	70	2119
32	70	2062
33	70	2008
34	71	1957
35	71	1909
36	71	1863
37	71	1820
38	72	1778
39	72	1739
40	72	1702
41	73	1668
42	73	1635
43	73	1603
44	74	1572
45	74	1542
46	74	1513
47	74	1486
48	75	1461
49	75	1436
50	75	1412
51	76	1389
52	76	1367
53	76	1345
54	77	1325
55	77	1305
56	77	1286
57	78	1267
58	78	1249
59	78	1232
60	78	1215
61	79	1198
62	79	1182
63	79	1168
64	80	1153
65	80	1138
66	80	1124
67	81	1110
68	81	1098
69	81	1087
70	82	1075
71	82	1063
72	82	1051
73	83	1050
74	84	1039
75	84	1028
76	84	1017
77	85	1008
78	85	997
79	85	987
80	86	977
81	86	967
82	86	958
83	87	949
84	87	940
85	87	931
86	87	923
87	88	914
88	88	907
89	88	899
90	89	891
91	89	884
92	89	876
93	90	868
94	90	861
95	90	854
96	91	847
97	91	840
98	91	834
99	91	827
100	92	820
101	92	814
102	92	808
103	93	802
104	93	796
105	93	790
106	93	784
107	94	778
108	94	773
109	94	767
110	95	762
111	95	756
112	95	751
113	96	746
114	96	741
115	96	736
116	96	731
117	97	727
118	97	722
119	97	717
120	98	713
121	98	708
122	98	703
123	99	699
124	99	695
125	99	690
126	99	686
127	100	682
128	100	678
129	100	674
130	101	670
131	101	667
132	101	663
133	102	659
134	102	655
135	102	652
136	102	648
137	103	645
138	103	641
139	103	638
140	104	634
141	104	630
142	104	627
143	105	624
144	105	621
145	105	618
146	106	615
147	106	612
148	106	609
149	106	606
150	107	603
151	107	600
152	107	597
153	108	593
154	108	590
155	108	587
156	108	584
157	109	581
158	109	578
159	109	576
160	110	573
161	110	570
162	110	567
163	110	564
164	111	562
165	111	559
166	111	556
167	111	554
168	112	550
169	112	548
170	112	545
171	112	543
172	113	541
173	113	538
174	113	536
175	114	534
176	114	531
177	114	529
178	114	527
179	115	524
180	115	521
181	115	518
182	115	516
183	115	513
184	116	511
185	116	508
186	116	505
187	116	503
188	116	501
189	116	498
190	117	495
191	117	493
192	117	491
193	117	489
194	117	487
195	118	485
196	118	483
197	118	481
198	119	480
199	119	477
200	119	475
201	119	473
202	120	472
203	120	470
204	120	468
205	121	466
206	121	465
207	121	463
208	122	461
209	122	460
210	122	457
211	122	456
212	123	454
213	123	452
214	123	450
215	123	448
216	123	446
217	123	444
218	124	442
219	124	440
220	124	438
221	124	436
222	124	435
223	125	435
224	125	433
225	126	432
226	126	431
227	126	429
228	127	427
229	127	425
230	127	424
231	127	423
232	128	421
233	128	419
234	128	418
235	128	416
236	129	415
237	129	414
238	129	412
239	129	411
240	130	410
241	130	408
242	130	406
243	130	405
244	131	404
245	131	403
246	131	401
247	132	400
248	132	399
249	132	398
250	132	396
251	133	395
252	133	394
253	133	393
254	134	392
255	134	391
256	134	390
257	135	389
258	135	387
259	135	386
260	136	385
261	136	384
262	136	382
263	136	381
264	137	380
265	137	379
266	137	378
267	138	377
268	138	376
269	138	375
270	139	373
271	139	372
272	139	371
273	139	370
274	140	371
275	141	369
276	141	369
277	141	368
278	142	367
279	142	365
280	142	364
281	142	363
282	143	363
283	143	362
284	143	360
285	144	359
286	144	358
287	144	357
288	144	356
289	145	355
290	145	354
291	145	353
292	146	352
293	146	351
294	146	350
295	147	349
296	147	349
297	147	347
298	147	346
299	148	345
300	148	344
301	148	343
302	149	342
303	149	341
304	149	341
305	150	340
306	150	339
307	150	338
308	151	337
309	151	336
310	151	335
311	151	334
312	152	333
313	152	332
314	152	331
315	152	330
316	153	330
317	153	329
318	153	327
319	153	327
320	154	326
321	154	325
322	154	324
323	155	323
324	155	322
325	155	322
326	156	321
327	156	320
328	156	319
329	157	318
330	157	318
331	157	317
332	158	316
333	158	316
334	158	315
335	159	314
336	159	313
337	159	312
